1.44058447003e+15    687.0    1.44058447038e+15
1.44058448962e+15    744.0    1.44058448997e+15
1.44058450964e+15    688.0    1.44058450999e+15
1.44058452964e+15    687.0    1.44058452999e+15
1.44058454964e+15    713.0    1.44058454999e+15
1.44058456958e+15    689.0    1.44058456994e+15
1.44058458959e+15    690.0    1.44058458994e+15
1.44058460954e+15    696.0    1.44058460989e+15
1.44058462954e+15    688.0    1.44058462989e+15
1.44058464959e+15    688.0    1.44058464994e+15
1.44058466965e+15    691.0    1.44058467e+15
1.44058468966e+15    689.0    1.44058469001e+15
1.44058470963e+15    688.0    1.44058470998e+15
1.44058472992e+15    690.0    1.44058473027e+15
1.44058474962e+15    731.0    1.44058474997e+15
1.44058476968e+15    691.0    1.44058477003e+15
1.4405847897e+15    2488.0    1.44058479097e+15
1.44058480974e+15    688.0    1.44058481009e+15
1.44058482968e+15    690.0    1.44058483003e+15
1.44058484972e+15    690.0    1.44058485007e+15
1.44058486957e+15    699.0    1.44058486993e+15
1.44058488967e+15    693.0    1.44058489002e+15
1.44058490964e+15    687.0    1.44058490999e+15
1.44058492958e+15    686.0    1.44058492993e+15
1.44058494966e+15    692.0    1.44058495001e+15
1.44058496962e+15    690.0    1.44058496997e+15
1.44058498961e+15    691.0    1.44058498996e+15
1.44058500963e+15    687.0    1.44058500998e+15
1.44058502964e+15    689.0    1.44058502999e+15
